item_id,catId,director,characteristic,attack_img_url,defence_img_url,tactic_settings_img_url
"71","4","UraziL지호나","선수비 후역습","http://cdn.gamemeca.com/gm_etc/000/000/71/uj1212_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/71/uj1212_df.jpg","http://cdn.gamemeca.com/gm_etc/000/000/71/uj1212_ma.jpg"
"67","4","마포구며느리","좌우 간격이 넓은 4-2-4","http://cdn.gamemeca.com/gm_etc/000/000/67/mm1211_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/67/mm1211_df.jpg","http://cdn.gamemeca.com/gm_etc/000/000/67/mm1211_ma.jpg"
"66","4","UraziLDok","선수비 후역습","http://cdn.gamemeca.com/gm_etc/000/000/66/udy1210_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/66/udy1210_df.jpg","http://cdn.gamemeca.com/gm_etc/000/000/66/udy1210_ma.jpg"
"20","4","GloriFy재훈","중앙 밀집형 4-2-4","http://cdn.gamemeca.com/gm_etc/000/000/20/ss13.jpg","http://cdn.gamemeca.com/gm_etc/000/000/20/ss14.jpg","http://cdn.gamemeca.com/gm_etc/000/000/20/ss15.jpg"
"12","4","Exodus비트","2CDM 4백","http://cdn.gamemeca.com/gm_etc/000/000/12/e1.jpg","http://cdn.gamemeca.com/gm_etc/000/000/12/e2.jpg","http://cdn.gamemeca.com/gm_etc/000/000/12/e3.jpg"
"89","5","상윤YaKuJa","크로스와 티카타카 중시 전술","http://cdn.gamemeca.com/gm_etc/000/000/89/sy_a.jpg","http://cdn.gamemeca.com/gm_etc/000/000/89/sy_d.jpg","http://cdn.gamemeca.com/gm_etc/000/000/89/sy_t.jpg"
"77","5","Eins인연님","중앙 공격에 특화된 4-1-1-4","http://cdn.gamemeca.com/gm_etc/000/000/77/ei0108_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/77/ei0108_df.jpg","http://cdn.gamemeca.com/gm_etc/000/000/77/ei0108_ma.jpg"
"76","5","90min송우람","크로스 플레이","http://cdn.gamemeca.com/gm_etc/000/000/76/sw1008_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/76/sw1008_df.jpg","http://cdn.gamemeca.com/gm_etc/000/000/76/sw1008_ma.jpg"
"70","5","Apex해누","역습 특화 4-1-1-4","http://cdn.gamemeca.com/gm_etc/000/000/70/ah1212_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/70/ah1212_df.jpg","http://cdn.gamemeca.com/gm_etc/000/000/70/ah1212_ma.jpg"
"69","5","90min암패기","안정적인 4-1-1-4","http://cdn.gamemeca.com/gm_etc/000/000/69/90a1211_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/69/90a1211_df.jpg","http://cdn.gamemeca.com/gm_etc/000/000/69/90a1211_ma.jpg"
"64","5","Exodus진수","앙리의 파괴력을 극대화","http://cdn.gamemeca.com/gm_etc/000/000/64/ej1205_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/64/ej1205_df.jpg","http://cdn.gamemeca.com/gm_etc/000/000/64/ej1205_ma.jpg"
"61","5","명이YaKuJa","상황에 따른 유기적인 대응","http://cdn.gamemeca.com/gm_etc/000/000/61/my1201_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/61/my1201_df.jpg","http://cdn.gamemeca.com/gm_etc/000/000/61/my1201_ma.jpg"
